Emp_id,Name,Company,Gender,Age,Performance Score,Years at Company,Monthly Hours,Projects Completed,Satisfaction Level,Salary (INR),Work Accidents,Last Promotion,Department,JobSecurityScore
EMP000041,Rahul,TCS,Male,33,1,2,134,12,0.64,32920,3,2,Finance,1
EMP000042,Ritu,Cognizant,Female,54,3,12,148,3,0.42,190165,0,8,Operations,2
EMP000043,Deepak,Tech Mahindra,Male,58,2,5,206,8,0.74,36493,1,4,Quality Assurance,2
EMP000044,Anjali,TCS,Female,26,1,13,132,1,0.58,179465,2,9,Operations,1
EMP000045,Swati,Tech Mahindra,Female,24,2,0,157,14,0.83,196067,3,6,Marketing,1
EMP000046,Alex,HCL Technologies,Other,25,4,3,229,15,0.83,60150,1,1,Human Resources,5
EMP000047,Anjali,Cognizant,Female,26,3,17,154,10,0.95,180147,3,5,Quality Assurance,3
EMP000048,Sneha,Accenture India,Female,41,5,10,287,1,0.31,129732,3,0,Human Resources,4
EMP000049,Kavita,Capgemini,Female,48,1,10,195,4,0.62,193626,0,7,Marketing,2
EMP000050,Rahul,Wipro,Male,23,5,7,229,10,0.83,123563,2,0,Finance,5
EMP000051,Ankit,LTIMindtree,Male,43,2,3,124,3,0.55,68159,3,10,Finance,1
EMP000052,Sneha,Infosys,Female,28,2,1,121,10,0.7,79640,2,2,Quality Assurance,1
EMP000053,Casey,Accenture India,Other,39,4,0,149,2,0.85,65598,3,5,Human Resources,2
EMP000054,Swati,Cognizant,Female,31,2,9,218,9,0.58,147505,0,7,Quality Assurance,2
EMP000055,Sneha,Wipro,Female,30,2,16,238,12,0.53,99516,3,10,Human Resources,1
EMP000056,Anjali,Accenture India,Female,48,5,6,129,12,0.34,66817,1,9,Marketing,4
EMP000057,Amit,Cognizant,Male,40,5,6,192,12,0.86,52562,2,0,Quality Assurance,5
EMP000058,Karan,IBM India,Male,48,1,12,243,5,0.84,153532,1,9,Software Development,1
EMP000059,Suresh,IBM India,Male,49,1,0,157,3,0.79,66682,0,3,Finance,1
EMP000060,Vikas,Tech Mahindra,Male,28,2,0,213,9,0.51,78334,1,2,Human Resources,2
EMP000061,Neha,Accenture India,Female,39,3,12,238,8,0.67,61790,1,10,Finance,3
EMP000062,Sky,IBM India,Other,41,1,0,282,4,0.3,38166,1,0,Marketing,1
EMP000063,Anjali,Cognizant,Female,38,2,5,190,10,0.46,93697,2,4,Human Resources,1
EMP000064,Deepak,Tech Mahindra,Male,29,5,9,259,5,0.55,108912,0,7,Marketing,5
EMP000065,Deepak,Cognizant,Male,24,4,20,289,11,0.23,94259,3,6,Quality Assurance,4
EMP000066,Rohit,Tech Mahindra,Male,45,5,0,217,12,0.28,111806,2,2,Software Development,4
EMP000067,Pooja,Accenture India,Female,54,5,4,296,5,0.86,164414,2,4,Software Development,5
EMP000068,Karan,Wipro,Male,29,4,1,246,8,0.98,133638,0,4,Sales,5
EMP000069,Rahul,Capgemini,Male,29,5,2,186,7,0.46,196518,2,7,Finance,4
EMP000070,Deepak,TCS,Male,38,1,2,152,3,0.29,38655,3,5,Software Development,1
EMP000071,Amit,Wipro,Male,31,5,17,223,6,0.95,37910,2,2,Human Resources,5
EMP000072,Meena,HCL Technologies,Female,33,4,7,260,6,0.93,134443,1,6,Sales,4
EMP000073,Deepak,Cognizant,Male,58,2,8,267,2,0.72,61942,2,0,IT,2
EMP000074,Amit,HCL Technologies,Male,29,2,1,280,15,0.47,194128,0,1,IT,3
EMP000075,Manish,Wipro,Male,36,2,1,153,13,0.29,41866,0,6,Human Resources,1
EMP000076,Rahul,Tech Mahindra,Male,24,4,15,169,1,0.95,86245,2,1,Sales,4
EMP000077,Pooja,TCS,Female,54,4,6,297,7,0.94,130270,2,1,software dev,4
EMP000078,Meena,TCS,Female,27,1,3,256,3,0.79,121390,1,9,software dev,1
EMP000079,Rahul,Infosys,Male,35,4,4,126,5,0.95,61305,2,6,IT,3
EMP000080,Aarti,TCS,Female,58,2,0,256,8,0.31,178475,3,9,Sales,1
EMP000081,Amit,Capgemini,Male,31,4,9,225,5,0.29,69006,1,3,Human Resources,4
EMP000082,Ritu,TCS,Female,52,3,12,273,11,0.35,67342,3,8,Quality Assurance,2
EMP000083,Rohit,Wipro,Male,47,5,14,249,5,0.37,119229,1,6,Operations,5
EMP000084,Arjun,Infosys,Male,50,1,0,124,5,0.86,39292,3,9,Human Resources,1
EMP000085,Swati,Wipro,Female,37,2,17,232,11,0.94,182717,3,9,Human Resources,2
EMP000086,Sneha,Wipro,Female,56,2,13,185,7,0.37,140908,3,5,Finance,1
EMP000087,Meena,LTIMindtree,Female,39,3,17,235,2,0.57,54237,3,3,Human Resources,3
EMP000088,Amit,Infosys,Male,27,1,11,257,14,0.56,65802,2,7,IT,2
EMP000089,Deepak,Wipro,Male,41,5,11,278,1,0.34,45576,2,4,Human Resources,4
EMP000090,Jamie,LTIMindtree,Other,48,1,4,280,11,0.88,106288,0,7,Software Development,2
EMP000091,Suresh,LTIMindtree,Male,23,1,6,227,4,0.62,91574,2,7,Human Resources,1
EMP000092,Manish,Infosys,Male,34,2,12,230,5,0.65,152120,0,10,Sales,2
EMP000093,Suresh,HCL Technologies,Male,22,4,8,253,7,0.41,57620,3,8,Quality Assurance,2
EMP000094,Rahul,Tech Mahindra,Male,49,5,5,133,1,0.65,65604,1,10,Marketing,3
EMP000095,Deepak,Capgemini,Male,38,1,20,197,9,0.83,129017,1,8,software dev,2
EMP000096,Sneha,Tech Mahindra,Female,57,3,6,134,11,0.44,142168,2,6,IT,1
EMP000097,Manish,TCS,Male,44,2,17,240,12,0.29,56308,3,9,Sales,1
EMP000098,Kavita,Capgemini,Female,32,4,14,290,12,0.67,85349,0,6,Quality Assurance,5
EMP000099,Karan,TCS,Male,52,4,7,267,10,0.71,93493,0,5,Software Development,5
EMP000100,Vikas,Wipro,Male,38,2,19,140,4,0.36,25840,0,8,Quality Assurance,2
EMP000101,Meena,Cognizant,Female,33,1,15,148,6,0.4,66538,1,7,Software Development,1
EMP000102,Neha,Infosys,Female,24,2,16,192,11,0.32,170019,0,0,Quality Assurance,4
EMP000103,Kavita,Capgemini,Female,43,4,2,212,1,0.94,22219,1,7,Software Development,4
EMP000104,Priya,Capgemini,Female,30,4,12,291,9,0.37,84841,3,1,Operations,4
EMP000105,Vikas,Wipro,Male,25,3,8,281,4,0.21,182064,1,8,Quality Assurance,2
EMP000106,Priya,HCL Technologies,Female,34,3,19,166,5,0.87,137989,3,5,software dev,4
EMP000107,Aarti,LTIMindtree,Female,54,4,14,128,15,0.84,136881,2,4,IT,4
EMP000108,Vikas,Wipro,Male,48,3,15,231,8,0.57,31538,2,6,Operations,3
EMP000109,Meena,IBM India,Female,28,3,15,149,6,0.84,41333,1,10,Operations,4
EMP000110,Priya,LTIMindtree,Female,36,3,18,136,15,0.56,143708,2,3,Quality Assurance,3
EMP000111,Ankit,Infosys,Male,51,4,3,299,10,0.38,25688,2,8,Sales,3
EMP000112,Vikas,LTIMindtree,Male,27,1,18,178,12,0.54,56174,3,9,Human Resources,1
EMP000113,Karan,HCL Technologies,Male,23,1,18,238,14,0.59,125368,3,7,Human Resources,2
EMP000114,Aarti,LTIMindtree,Female,49,5,1,251,3,0.21,117276,1,0,software dev,4
EMP000115,Rahul,Infosys,Male,56,3,5,287,10,0.29,146865,1,0,Software Development,4
EMP000116,Suresh,HCL Technologies,Male,59,1,12,215,8,0.9,107097,0,2,Operations,4
EMP000117,Manish,Tech Mahindra,Male,24,5,14,254,6,0.51,160555,0,7,IT,5
EMP000118,Anjali,Capgemini,Female,29,2,9,157,12,0.47,36415,2,7,Software Development,2
EMP000119,Swati,Capgemini,Female,37,3,9,151,2,0.91,150969,2,1,Software Development,3
EMP000120,Neha,TCS,Female,40,1,3,188,5,0.32,88014,3,0,Sales,1
EMP000121,Rohit,Tech Mahindra,Male,34,1,13,186,3,0.37,87497,1,3,Finance,1
EMP000122,Priya,Tech Mahindra,Female,49,1,7,175,4,0.86,132603,0,1,IT,2
EMP000123,Neha,LTIMindtree,Female,33,5,5,139,9,0.42,73469,0,4,Finance,4
EMP000124,Neha,Capgemini,Female,56,2,11,239,3,0.71,108114,1,6,Human Resources,2
EMP000125,Rohit,Infosys,Male,37,3,7,264,5,0.79,41288,1,9,Software Development,3
EMP000126,Suresh,Accenture India,Male,24,1,5,263,14,0.38,140672,1,10,Marketing,1
EMP000127,Ritu,Accenture India,Female,40,4,14,130,8,0.4,137194,0,9,Operations,4
EMP000128,Ankit,HCL Technologies,Male,31,3,18,260,13,0.61,196930,3,4,Finance,4
EMP000129,Sneha,Capgemini,Female,42,4,13,265,9,0.83,181220,1,0,Sales,5
EMP000130,Anjali,Capgemini,Female,28,5,2,133,7,0.64,154097,2,9,Sales,3
EMP000131,Anjali,Accenture India,Female,48,1,17,153,11,0.25,189124,0,4,Sales,1
EMP000132,Swati,Capgemini,Female,50,3,9,205,4,0.48,30100,3,5,IT,2
EMP000133,Aarti,LTIMindtree,Female,53,3,13,244,9,0.46,37812,1,8,Sales,3
EMP000134,Karan,IBM India,Male,53,1,13,273,15,0.85,45629,2,0,software dev,3
EMP000135,Rahul,Cognizant,Male,56,2,6,289,12,0.43,141563,0,2,Marketing,2
EMP000136,Suresh,Tech Mahindra,Male,47,5,6,286,2,0.92,21947,1,10,Human Resources,5
EMP000137,Kavita,TCS,Female,40,1,20,249,12,0.47,168061,2,4,Operations,2
EMP000138,Manish,HCL Technologies,Male,53,3,10,169,2,0.36,55704,1,0,Human Resources,3
EMP000139,Rahul,IBM India,Male,45,2,17,232,4,0.63,163851,2,6,Quality Assurance,2
EMP000140,Pooja,Accenture India,Female,39,3,9,263,2,0.51,54702,3,0,Software Development,2
EMP000141,Neha,Tech Mahindra,Female,41,4,14,181,3,0.72,39090,0,9,software dev,5
EMP000142,Sam,Capgemini,Other,53,3,11,217,15,0.93,149169,3,9,IT,3
EMP000143,Swati,TCS,Female,23,5,16,258,5,0.95,151801,0,2,Operations,5
EMP000144,Kavita,Capgemini,Female,34,1,16,246,3,0.38,161258,0,10,Marketing,2
EMP000145,Pooja,Infosys,Female,35,3,0,149,1,0.33,193021,1,0,Operations,2
EMP000146,Taylor,Infosys,Other,53,4,5,274,11,0.95,164283,3,8,Marketing,4
EMP000147,Meena,TCS,Female,42,4,20,205,3,0.85,144855,0,6,Human Resources,5
EMP000148,Sneha,TCS,Female,21,1,14,200,13,0.41,92106,2,9,Marketing,1
EMP000149,Anjali,Accenture India,Female,51,4,18,198,6,0.84,125300,1,8,Quality Assurance,4
EMP000150,Kavita,TCS,Female,55,1,13,256,3,0.79,59807,2,8,Human Resources,1
EMP000151,Arjun,LTIMindtree,Male,40,5,9,195,9,0.4,155206,2,10,Sales,4
EMP000152,Suresh,Capgemini,Male,52,1,9,249,3,0.92,166398,2,10,IT,1
EMP000153,Amit,IBM India,Male,32,2,6,168,11,0.46,28782,1,8,Marketing,2
EMP000154,Vikas,Wipro,Male,36,4,6,167,3,0.58,78832,3,9,Marketing,2
EMP000155,Suresh,TCS,Male,28,4,13,174,15,0.69,107000,2,4,IT,5
EMP000156,Arjun,HCL Technologies,Male,34,3,14,199,3,0.35,23223,2,6,IT,2
EMP000157,Karan,Infosys,Male,38,2,19,186,5,0.69,197146,0,5,Software Development,3
EMP000158,Sneha,LTIMindtree,Female,50,3,8,234,7,0.77,39747,1,5,IT,3
EMP000159,Aarti,Tech Mahindra,Female,53,1,14,231,5,0.28,79232,3,2,Marketing,1
EMP000160,Suresh,Wipro,Male,54,5,8,278,9,0.5,180619,0,9,Finance,5
EMP000161,Swati,IBM India,Female,54,4,6,226,6,0.69,196724,3,5,Finance,3
EMP000162,Anjali,Wipro,Female,27,5,10,145,1,0.94,124088,2,9,Finance,4
EMP000163,Kavita,TCS,Female,26,1,4,229,9,0.91,195865,2,5,Quality Assurance,1
EMP000164,Pooja,Accenture India,Female,26,1,8,185,14,0.34,100433,1,4,Operations,1
EMP000165,Karan,Infosys,Male,42,2,5,277,3,0.69,122257,2,3,IT,2
EMP000166,Manish,Infosys,Male,28,3,6,220,8,0.28,153683,1,9,Human Resources,2
EMP000167,Vikas,Tech Mahindra,Male,57,4,13,120,14,0.44,68429,2,4,Marketing,3
EMP000168,Deepak,Accenture India,Male,35,4,18,189,12,0.68,109813,2,6,Operations,4
EMP000169,Sneha,Capgemini,Female,46,5,10,269,15,0.27,152725,0,3,Sales,5
EMP000170,Suresh,Cognizant,Male,59,2,6,232,3,0.91,54236,2,8,Sales,2
EMP000171,Amit,LTIMindtree,Male,23,1,5,173,8,0.86,86940,3,3,Operations,1
EMP000172,Rohit,Infosys,Male,30,2,3,261,4,0.58,71595,3,8,Operations,1
EMP000173,Rahul,HCL Technologies,Male,23,4,13,133,1,0.59,122686,0,9,Operations,4
EMP000174,Pooja,Infosys,Female,50,3,2,138,11,0.91,196159,0,8,Software Development,3
EMP000175,Ritu,Wipro,Female,42,5,16,273,14,0.24,74885,2,6,Operations,5
EMP000176,Rahul,Infosys,Male,23,1,14,178,6,0.32,81991,0,6,Marketing,1
EMP000177,Rahul,Infosys,Male,21,1,0,269,7,0.45,43930,1,9,software dev,1
EMP000178,Rahul,Cognizant,Male,53,1,20,125,8,0.49,134534,0,0,Software Development,2
EMP000179,Ankit,Cognizant,Male,39,3,10,182,6,0.99,117261,3,1,Marketing,3
EMP000180,Meena,IBM India,Female,56,4,12,196,14,0.32,111405,1,2,IT,4
EMP000181,Karan,Capgemini,Male,54,4,2,193,1,0.44,71899,3,2,IT,2
EMP000182,Swati,HCL Technologies,Female,51,2,12,246,5,0.86,58366,0,2,Software Development,3
EMP000183,Anjali,Infosys,Female,44,2,17,266,9,0.83,148626,0,8,Human Resources,5
EMP000184,Deepak,Infosys,Male,32,4,8,214,3,0.72,123648,0,10,IT,4
EMP000185,Arjun,LTIMindtree,Male,33,1,1,129,5,0.46,53826,2,1,Marketing,1
EMP000186,Avery,Cognizant,Other,36,3,7,156,6,0.29,30266,3,0,IT,1
EMP000187,Aarti,HCL Technologies,Female,36,4,1,264,5,0.99,41124,2,0,software dev,4
EMP000188,Pooja,Tech Mahindra,Female,40,3,0,252,4,0.4,31338,2,5,Marketing,1
EMP000189,Anjali,IBM India,Female,47,5,2,268,2,0.88,102866,2,6,Operations,4
EMP000190,Priya,Capgemini,Female,59,1,16,237,5,0.92,28934,3,1,Operations,2
EMP000191,Karan,Accenture India,Male,33,5,6,286,10,0.55,116859,1,1,Quality Assurance,5
EMP000192,Aarti,Capgemini,Female,24,4,9,267,1,0.88,199599,0,7,IT,5
EMP000193,Vikas,Wipro,Male,52,2,18,262,1,0.42,80327,2,6,software dev,2
EMP000194,Anjali,Infosys,Female,54,4,8,198,8,0.91,139129,3,3,Sales,4
EMP000195,Morgan,IBM India,Other,59,5,17,172,13,0.71,193399,3,6,Sales,5
EMP000196,Sneha,Wipro,Female,37,3,14,152,4,0.36,186083,0,3,Finance,3
EMP000197,Rohit,HCL Technologies,Male,44,4,16,241,1,0.83,63217,2,4,Software Development,4
EMP000198,Rohit,Accenture India,Male,49,2,16,291,2,0.93,185494,1,10,Finance,4
EMP000199,Priya,Cognizant,Female,48,5,18,297,5,0.66,73072,0,10,Marketing,5
EMP000200,Meena,IBM India,Female,42,4,8,151,7,0.81,32200,1,7,Sales,4
EMP000201,Sneha,IBM India,Female,48,5,5,198,13,0.84,120879,2,10,software dev,4
EMP000202,Sam,Infosys,Other,45,5,18,275,12,0.83,55444,0,10,Quality Assurance,5
EMP000203,Pooja,TCS,Female,23,1,7,122,5,0.56,33609,2,3,IT,1
EMP000204,Vikas,IBM India,Male,33,3,5,172,11,0.79,48861,2,10,Sales,3
EMP000205,Karan,LTIMindtree,Male,51,1,16,289,10,0.64,172947,3,6,IT,1
EMP000206,Deepak,Accenture India,Male,33,5,5,121,15,0.53,92123,1,1,Human Resources,4
EMP000207,Anjali,Accenture India,Female,38,2,12,240,6,0.33,152480,1,1,IT,2
EMP000208,Sneha,LTIMindtree,Female,57,2,20,269,7,0.93,182319,0,8,Finance,4
EMP000209,Neha,Tech Mahindra,Female,54,1,1,272,3,0.53,138147,2,9,software dev,1
EMP000210,Deepak,LTIMindtree,Male,37,2,11,279,11,0.39,107349,0,7,Sales,3
EMP000211,Vikas,LTIMindtree,Male,41,5,6,254,10,0.39,60927,0,2,Quality Assurance,5
EMP000212,Arjun,Accenture India,Male,56,4,5,181,5,0.39,21217,2,6,Marketing,3
EMP000213,Ritu,Capgemini,Female,39,5,16,150,8,0.2,124173,1,0,Finance,5
EMP000214,Karan,Accenture India,Male,32,4,7,182,13,0.55,26807,0,3,software dev,5
EMP000215,Amit,TCS,Male,48,2,5,156,11,0.91,147784,0,3,software dev,3
EMP000216,Ankit,Infosys,Male,31,3,18,187,6,0.22,44638,0,7,Software Development,3
EMP000217,Kavita,Wipro,Female,57,3,20,198,2,0.97,48471,2,3,software dev,4
EMP000218,Deepak,Capgemini,Male,48,5,8,256,9,0.34,120621,0,10,Quality Assurance,4
EMP000219,Sneha,Cognizant,Female,55,5,19,165,2,0.78,56788,1,8,software dev,5
EMP000220,Pooja,Wipro,Female,35,2,15,214,6,0.83,68765,3,9,Quality Assurance,2
EMP000221,Neha,Infosys,Female,36,3,17,153,11,0.79,127691,1,6,IT,4
EMP000222,Sneha,TCS,Female,27,3,18,227,2,0.47,169162,2,9,Marketing,3
EMP000223,Vikas,TCS,Male,23,5,6,179,10,0.76,172437,3,10,Human Resources,4
EMP000224,Karan,Cognizant,Male,51,3,7,260,7,0.58,190634,2,4,Operations,3
EMP000225,Pooja,Capgemini,Female,32,5,20,155,1,0.32,30387,2,7,Sales,4
EMP000226,Anjali,Tech Mahindra,Female,28,1,18,167,4,0.36,127256,3,3,IT,1
EMP000227,Alex,LTIMindtree,Other,45,3,0,212,12,0.22,109166,2,9,Operations,1
EMP000228,Meena,Capgemini,Female,55,4,12,125,8,0.47,185083,1,10,Operations,3
EMP000229,Manish,Tech Mahindra,Male,32,2,0,252,9,0.78,174440,3,5,Human Resources,1
EMP000230,Suresh,TCS,Male,41,5,10,222,10,0.98,38835,2,4,Marketing,5
EMP000231,Aarti,Accenture India,Female,46,3,1,297,3,0.31,73364,0,9,Operations,2
EMP000232,Rahul,Infosys,Male,22,3,20,193,9,0.48,159198,1,2,Human Resources,4
EMP000233,Suresh,Cognizant,Male,34,5,2,193,12,0.35,160878,3,7,Marketing,4
EMP000234,Anjali,Infosys,Female,24,4,12,232,14,0.81,141005,3,5,Finance,4
EMP000235,Rohit,HCL Technologies,Male,37,3,6,271,8,0.94,150867,2,3,IT,4
EMP000236,Karan,HCL Technologies,Male,25,1,1,126,4,0.29,94848,3,0,Quality Assurance,1
EMP000237,Neha,Capgemini,Female,44,2,1,205,1,0.92,190461,3,9,Operations,1
EMP000238,Neha,TCS,Female,27,5,2,177,10,0.42,105839,2,0,Operations,4
EMP000239,Rohit,TCS,Male,43,3,12,268,5,0.38,131464,0,2,Software Development,4
EMP000240,Neha,LTIMindtree,Female,37,2,11,280,11,0.25,35770,1,7,Operations,2
EMP000241,Neha,LTIMindtree,Female,32,5,0,163,7,0.26,196049,1,7,Sales,4
EMP000242,Deepak,LTIMindtree,Male,31,5,17,144,5,0.26,74128,3,1,IT,4
EMP000243,Ankit,Accenture India,Male,31,5,4,214,11,0.56,46068,3,10,Operations,3
EMP000244,Ankit,Wipro,Male,54,4,18,235,5,0.73,97226,3,0,Operations,5
EMP000245,Pooja,IBM India,Female,57,1,9,262,5,0.35,114533,0,4,Software Development,2
EMP000246,Karan,Wipro,Male,49,5,5,276,3,0.37,169512,0,0,software dev,5
EMP000247,Casey,Infosys,Other,56,4,17,202,6,0.34,39436,2,7,Sales,3
EMP000248,Ritu,Wipro,Female,47,5,14,171,11,0.85,104253,0,8,Finance,5
EMP000249,Swati,Accenture India,Female,42,5,13,136,4,0.31,33454,0,1,Software Development,5
EMP000250,Sneha,Infosys,Female,22,4,15,155,10,0.26,194495,0,10,Marketing,4
EMP000251,Aarti,Wipro,Female,56,1,3,282,2,0.23,180467,1,3,software dev,1
EMP000252,Amit,Accenture India,Male,50,2,18,287,4,0.23,148899,3,5,Finance,2
EMP000253,Amit,IBM India,Male,27,3,20,270,6,0.64,199131,1,6,IT,4
EMP000254,Neha,Wipro,Female,32,5,7,281,13,0.28,160214,0,4,IT,5
EMP000255,Vikas,Accenture India,Male,23,1,0,201,6,0.38,169281,3,0,Operations,1
EMP000256,Karan,LTIMindtree,Male,37,3,19,247,14,0.87,83095,0,6,Sales,5
EMP000257,Aarti,TCS,Female,52,5,12,199,11,0.97,66140,3,6,software dev,5
EMP000258,Ritu,LTIMindtree,Female,28,3,8,275,9,0.89,55155,1,4,Human Resources,4
EMP000259,Deepak,TCS,Male,43,4,0,179,8,0.97,74126,0,1,software dev,5
EMP000260,Swati,Cognizant,Female,58,1,14,279,5,0.74,166523,0,1,Operations,2
EMP000261,Arjun,Cognizant,Male,50,1,14,177,10,0.99,119558,1,8,Finance,2
EMP000262,Pooja,Cognizant,Female,35,2,13,201,3,0.6,121912,0,8,Sales,3
EMP000263,Rahul,IBM India,Male,30,2,4,163,4,0.84,189098,3,10,Marketing,1
EMP000264,Neha,LTIMindtree,Female,58,3,16,281,14,0.98,20881,0,3,Marketing,5
EMP000265,Manish,TCS,Male,35,4,5,268,5,0.77,69927,1,3,Sales,4
EMP000266,Kavita,Accenture India,Female,50,3,8,243,15,0.97,147777,2,6,software dev,4
EMP000267,Manish,Infosys,Male,46,5,19,120,1,0.4,109882,0,4,Finance,5
EMP000268,Rahul,Accenture India,Male,34,1,18,296,13,0.44,180405,0,0,Quality Assurance,3
EMP000269,Aarti,Infosys,Female,23,3,20,216,12,0.52,70759,0,4,Quality Assurance,4
EMP000270,Rahul,HCL Technologies,Male,56,3,16,140,9,0.57,110464,2,3,Finance,3
EMP000271,Rohit,Accenture India,Male,46,1,6,218,13,0.92,30278,3,2,IT,2
EMP000272,Vikas,Wipro,Male,34,1,7,274,4,0.91,184936,1,0,Marketing,2
EMP000273,Priya,Wipro,Female,51,2,14,267,8,0.73,27029,3,8,software dev,2
EMP000274,Anjali,Capgemini,Female,34,2,5,263,5,0.39,89653,3,3,Software Development,1
EMP000275,Ankit,LTIMindtree,Male,30,1,0,167,15,0.39,170339,1,2,Quality Assurance,1
EMP000276,Swati,Infosys,Female,29,3,8,151,11,0.71,148775,1,7,Marketing,2
EMP000277,Karan,Infosys,Male,38,5,6,151,5,0.6,103380,3,6,Human Resources,4
EMP000278,Swati,LTIMindtree,Female,56,3,19,300,14,0.41,115592,1,5,Marketing,5
EMP000279,Amit,IBM India,Male,56,5,18,243,12,0.33,30965,0,10,IT,5
EMP000280,Priya,Capgemini,Female,32,1,3,300,2,0.78,89685,3,5,Finance,1
EMP000281,Ankit,IBM India,Male,23,5,0,249,8,0.85,73618,3,1,Human Resources,4
EMP000282,Casey,IBM India,Other,38,2,8,141,12,0.41,167552,2,8,Human Resources,1
EMP000283,Vikas,IBM India,Male,27,1,1,171,13,0.54,160148,2,0,IT,1
EMP000284,Karan,LTIMindtree,Male,51,4,15,215,11,0.77,127025,3,3,software dev,4
EMP000285,Karan,IBM India,Male,21,5,1,281,10,0.58,187559,1,3,Operations,5
EMP000286,Aarti,Wipro,Female,51,5,2,264,15,0.97,195750,1,10,Finance,5
EMP000287,Priya,Cognizant,Female,33,4,13,142,7,0.3,167334,0,8,IT,4
EMP000288,Meena,HCL Technologies,Female,49,4,12,152,14,0.88,150441,3,2,Quality Assurance,4
EMP000289,Sneha,Infosys,Female,23,1,16,276,12,0.44,82499,3,8,Marketing,1
EMP000290,Priya,Infosys,Female,49,3,9,138,2,0.75,26461,1,1,Sales,3
EMP000291,Swati,HCL Technologies,Female,55,4,2,240,11,0.4,164753,3,0,IT,3
